Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Ações_Defensivas_BemSucedidas,Passes_Longos_Certos,Passes_Progressivos_Certos,Pisadas_Área,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Deep_Completions,Passes_ÁreaPênalti_Certos,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Éverton Ribeiro,Bahia,Bahia,"RCMF, RW",RCMF,8,35,2300000,2025-12-31,30,2350,Brazil,Brazil,left,174,68,no,7.0,2.43984,8.359808000000001,0.92,1.08,0.13,1.32,7.5999,1.8,2.360016,BRA1,Testing,2024,1.0,1.0,1.0
1,C. de Pena,Bahia,Bahia,RCMF,RCMF,8,32,2200000,2024-12-31,27,812,Uruguay,"Uruguay, Italy",left,177,69,no,6.32,3.769266,6.098712000000001,0.89,1.107648,0.3,2.22,6.093554,1.33,1.331624,BRA1,Testing,2024,0.8999697860969544,0.9164422317416017,0.9082060089192782
2,Gabriel,Athletico Paranaense,Athletico Paranaense,"LCMF, LDMF, RCMF",LCMF,8,32,1800000,2025-12-31,15,1189,Brazil,"Brazil, Italy",right,170,69,yes,10.75,3.105537,4.843903000000001,0.3,0.227158,0.03,0.45,7.571792,0.68,0.606697,BRA1,Testing,2024,0.4854015288845828,0.6146274531598185,0.5500144910222007
3,Tchê Tchê,Botafogo,Botafogo,"LCMF, LW, AMF",LCMF,8,32,1800000,2025-12-31,26,1735,Brazil,Brazil,right,175,66,no,4.05,2.700135,5.138999999999999,0.52,0.468,0.07,0.47,5.706989999999999,0.41,0.62147,BRA1,Testing,2024,0.3463712838674299,0.4998592144755852,0.4231152491715076
4,Lucas Silva,Cruzeiro,Cruzeiro,"RCMF, LCMF",RCMF,8,31,800000,2024-12-31,23,1518,Brazil,Brazil,right,181,76,no,6.17,1.899711,3.322815,0.71,0.592869,0.02,0.53,4.804304999999999,0.3,0.415363,BRA1,Testing,2024,0.08358016655324398,0.1557769823081514,0.1196785744306977
5,Willian Oliveira,Vitória,Vitória,"RCMF, LCMF",RCMF,8,31,500000,2024-12-31,29,2385,Brazil,Brazil,right,183,75,no,8.26,1.511062,3.053568,1.36,0.414144,0.03,0.53,3.166884,0.53,0.6015999999999999,BRA1,Testing,2024,0.1702709553399852,0.2740638798797651,0.2221674176098752
6,Ramiro,Cruzeiro,Cruzeiro,"RCMF, LCMF",RCMF,8,31,800000,2024-12-31,21,1217,Brazil,"Brazil, Italy",right,168,67,no,9.69,1.774796,3.474216,0.96,0.222,0.05,0.3,4.066504,0.67,0.66375,BRA1,Testing,2024,0.2958111678342359,0.3992652640389732,0.3475382159366046
7,Jean Mota,Vitória,Vitória,"RCMF, LCMF, RW",RCMF,8,31,1000000,2026-12-31,16,535,Brazil,Brazil,left,172,72,no,5.89,2.857106,6.724731,1.35,0.335,0.28,1.51,4.544999999999999,0.34,1.348504,BRA1,Testing,2024,0.7113983817107414,0.7608180254496506,0.736108203580196
8,Ricardo Ryller,Vitória,Vitória,"RCMF, DMF",RCMF,8,30,650000,2024-12-31,12,656,Brazil,Brazil,right,184,78,no,11.8,2.33,3.975948,0.27,0.5519999999999999,0.01,0.41,4.113539,0.14,0.8237049999999999,BRA1,Testing,2024,0.3874345787878412,0.4313839928375373,0.4094092858126893
9,Gregore,Botafogo,Botafogo,"RCMF, RDMF, LDMF",RCMF,8,30,2500000,2026-12-31,26,1831,Brazil,Brazil,right,181,78,no,10.42,1.914516,7.911464,0.64,0.2428620000000001,0.05,0.34,6.980963,0.15,0.246144,BRA1,Testing,2024,0.8450304547313883,0.7405175019280023,0.7927739783296954
10,Otávio,Atlético Mineiro,Atlético Mineiro,"RCMF, LCMF, DMF",RCMF,8,30,4500000,2026-06-30,19,1724,Brazil,Brazil,right,176,73,no,7.94,2.402264,3.236174999999999,0.37,0.315,0.01,0.16,5.379584000000001,0.31,0.522264,BRA1,Testing,2024,0.05696073378454662,0.238462814610228,0.1477117741973873
11,E. Martínez,Fortaleza,Fortaleza,"LCMF, AMF, RAMF",LCMF,8,30,1200000,2027-06-30,13,686,Argentina,Argentina,right,177,66,no,7.74,0.785,4.333316,1.18,0.6544800000000001,0.18,1.31,3.542806,1.05,1.18125,BRA1,Testing,2024,0.4809233241285377,0.5057726831135415,0.4933480036210396
12,Fernando Sobral,Cuiabá,Cuiabá,"RCMF, RDMF",RCMF,8,29,2000000,2026-12-31,28,1821,Brazil,Brazil,right,178,70,no,10.63,2.966103,5.140134,0.59,1.08625,0.08,0.69,4.548838000000001,0.69,1.234296,BRA1,Testing,2024,0.5927790544412617,0.6751776817127524,0.633978368077007
13,Zé Welison,Fortaleza,Fortaleza,"LCMF, RCMF, LDMF",LCMF,8,29,2000000,2026-12-31,17,875,Brazil,Brazil,right,177,74,no,10.59,2.675222,3.394439999999999,0.21,0.206646,0.01,0.21,4.014675,0.21,0.513585,BRA1,Testing,2024,0.2550008564907982,0.32308785333742,0.2890443549141091
14,Lucas Evangelista,Red Bull Bragantino,Red Bull Bragantino,"LCMF, RCMF, LDMF",LCMF,8,29,4000000,2026-06-30,25,2167,Brazil,Brazil,right,181,79,no,6.31,1.119375,3.448471,0.79,0.788846,0.03,0.62,3.570735000000001,0.42,0.9527949999999998,BRA1,Testing,2024,0.1705620104452197,0.2310957223791389,0.2008288664121793
15,Alex Santana,Corinthians,Corinthians,"RCMF, LDMF, LCMF",RCMF,8,29,2000000,2027-12-31,9,584,Brazil,"Brazil, Bulgaria",right,182,74,no,9.71,1.234224,3.856184,0.92,0.772284,0.01,0.31,3.853586999999999,0.31,0.462,BRA1,Testing,2024,0.3633073481020383,0.4003123628788523,0.3818098554904453
16,Barreto,Criciúma,Criciúma,"RCMF, DMF, LCMF",RCMF,8,28,500000,2024-12-31,24,2077,Brazil,"Brazil, Italy",right,181,78,no,8.93,1.085535,2.818958,1.04,0.7780040000000001,0.02,0.3,3.2475,0.48,0.5655,BRA1,Testing,2024,0.203000234377809,0.2602240169248206,0.2316121256513148
17,Charles,Corinthians,Corinthians,RCMF,RCMF,8,28,1000000,2028-12-31,10,612,Brazil,Brazil,right,187,81,no,11.76,2.055672,4.116,0.44,0.293348,0.03,0.29,3.826875,0.44,0.293304,BRA1,Testing,2024,0.3803926934968099,0.4377250017590835,0.4090588476279468
18,P. Galdames,Vasco da Gama,Vasco da Gama,"RCMF, RDMF",RCMF,8,27,1500000,2024-12-31,13,851,Chile,Chile,right,176,68,yes,9.1,4.335603000000001,5.709579,0.42,0.316196,0.06,0.74,5.289400999999999,0.85,0.529209,BRA1,Testing,2024,0.626953534485226,0.6943594651247166,0.6606564998049713
19,M. Villasanti,Grêmio,Grêmio,"RCMF, RDMF",RCMF,8,27,10000000,2027-12-31,20,2016,Paraguay,Paraguay,right,178,74,no,9.73,1.337696,4.107348,1.07,0.8484479999999999,0.05,0.54,4.327902,0.76,0.7588750000000001,BRA1,Testing,2024,0.4607804125270495,0.4990626893532096,0.4799215509401296
20,Ronald,Criciúma,Criciúma,"LCMF, LW, RCMF",LCMF,8,27,800000,2025-12-31,23,1181,Brazil,Brazil,right,171,74,yes,9.98,1.221257,3.201525,0.99,1.825523,0.12,0.91,2.515219,0.53,0.838689,BRA1,Testing,2024,0.3417120687814926,0.4023226771225221,0.3720173729520074
21,Erick,Athletico Paranaense,Athletico Paranaense,"RCMF, RDMF, RB",RCMF,8,26,4000000,2026-12-31,27,2316,Brazil,Brazil,right,176,67,no,9.13,2.059663,3.810073,1.4,0.3892390000000001,0.05,0.35,4.899825,0.35,0.386325,BRA1,Testing,2024,0.3245282404433866,0.4116380502469523,0.3680831453451695
22,Matheus Henrique,Cruzeiro,Cruzeiro,"RCMF, LCMF, RDMF",RCMF,8,26,8500000,2029-06-30,13,1095,Brazil,Brazil,right,173,71,no,5.59,1.23,4.11315,1.73,1.31422,0.02,0.74,3.617712,0.74,0.9839999999999999,BRA1,Testing,2024,0.3763554746552189,0.4081843506943511,0.3922699126747851
23,Pepê,Grêmio,Grêmio,"LCMF, RCMF, LDMF",LCMF,8,26,3000000,2025-12-31,20,1189,Brazil,Brazil,right,183,77,no,10.37,2.571129,5.378099,0.91,1.061606,0.01,0.23,5.074191,0.61,0.7587780000000001,BRA1,Testing,2024,0.6615905396604529,0.6756008358879991,0.6685956877742261
24,M. Zaracho,Atlético Mineiro,Atlético Mineiro,"LCMF, LW",LCMF,8,26,9000000,2025-12-31,13,802,Argentina,Argentina,right,171,64,no,8.3,1.122312,2.58423,1.46,0.7840560000000001,0.06,0.9,3.256968,0.45,0.224,BRA1,Testing,2024,0.2113764853856196,0.2641902472960524,0.237783366340836
25,Jean Lucas,Bahia,Bahia,"LCMF, LAMF",LCMF,8,26,7000000,2028-12-31,30,2710,Brazil,Brazil,right,181,76,no,5.59,1.37729,2.69101,1.45,0.7736700000000001,0.07,0.51,3.569111,0.84,0.7059440000000001,BRA1,Testing,2024,0.1580611434424151,0.2653910606436644,0.2117261020430397
26,A. Franco,Atlético Mineiro,Atlético Mineiro,"LCMF, RCMF, DMF",LCMF,8,26,3500000,2025-12-31,19,1539,Ecuador,Ecuador,right,174,73,no,6.78,0.8766560000000001,2.570112,0.88,0.116655,0.04,0.47,2.6303010000000002,0.58,0.4083450000000001,BRA1,Testing,2024,0.00711918514389656,0.07220563324074789,0.03966240919232222
27,Baralhas,Atlético GO,Atlético GO,"LCMF, LDMF",LCMF,8,26,1000000,2025-12-31,27,2178,Brazil,Brazil,right,178,73,yes,9.34,2.4353,4.218719999999999,0.87,0.662156,0.05,0.62,3.9255,0.66,0.745,BRA1,Testing,2024,0.4524539198843559,0.4870204673332409,0.4697371936087985
28,Rhaldney,Atlético GO,Atlético GO,RCMF,RCMF,8,25,600000,2025-06-30,26,1955,Brazil,Brazil,right,179,73,no,9.35,1.613108,3.773721,1.01,0.6913320000000001,0.03,0.6,5.389605,0.28,0.457152,BRA1,Testing,2024,0.3837257049210197,0.4575149100186446,0.4206203074698322
29,Rômulo,Internacional,Internacional,"RCMF, RDMF, DMF",RCMF,8,24,900000,2027-12-31,22,1455,Brazil,Brazil,right,182,75,no,9.71,1.67295,3.403125,0.31,0.49,0.0,0.06,3.462960000000001,0.12,0.122851,BRA1,Testing,2024,0.2268437338857327,0.2520697944617577,0.2394567641737452
30,Newton,Criciúma,Criciúma,"RCMF, RDMF",RCMF,8,24,250000,2027-12-31,24,1951,Brazil,Brazil,right,188,78,yes,7.98,2.073159,3.59584,0.74,0.60043,0.06,0.46,3.737793,0.14,0.599426,BRA1,Testing,2024,0.2308189073672923,0.3059936062020729,0.2684062567846827
31,F. Vera,Atlético Mineiro,Atlético Mineiro,"RCMF, RDMF",RCMF,8,24,4500000,2027-12-31,19,1408,Argentina,Argentina,right,180,74,no,6.58,1.46874,4.667742,1.09,0.322248,0.04,0.32,5.239170000000001,0.45,0.576,BRA1,Testing,2024,0.3137008674180921,0.3828618552725492,0.3482813613453207
32,Eric Ramires,Red Bull Bragantino,Red Bull Bragantino,"RCMF, RDMF",RCMF,8,24,4000000,2026-12-31,22,1244,Brazil,Brazil,right,174,67,no,7.52,0.6525,2.604771,1.66,0.8673449999999999,0.01,0.51,3.69182,0.14,0.361524,BRA1,Testing,2024,0.1378621068377458,0.1767685698456936,0.1573153383417197
33,Á. Barreal,Cruzeiro,Cruzeiro,"LCMF, LWF, LW",LCMF,8,24,5000000,2025-12-31,23,1404,Argentina,"Argentina, United States",left,172,66,yes,10.0,2.373564,4.232088,2.05,1.216,0.14,1.35,3.203973,0.9,1.410985,BRA1,Testing,2024,0.5718899599300051,0.5993795170875766,0.585634738508791
34,Denilson,Cuiabá,Cuiabá,"LCMF, LDMF",LCMF,8,23,2000000,2027-12-31,26,1813,Brazil,Brazil,right,180,75,no,5.46,1.040292,3.7696,0.5,1.489246,0.09,0.74,2.929219999999999,0.74,1.09107,BRA1,Testing,2024,0.2443753097056664,0.3191659275899412,0.2817706186478038
35,Breno Bidon,Corinthians U20,Corinthians,"LCMF, RDMF, LDMF",LCMF,8,19,0,,22,1497,Brazil,Brazil,left,174,70,no,7.27,3.186625,5.167916,0.3,1.019928,0.03,0.6,5.287425000000001,0.48,0.479952,BRA1,Testing,2024,0.4199961911558281,0.5598663834195706,0.4899312872876994
36,Paulo Vitor,Atlético Mineiro U20,Atlético Mineiro,"RCMF, LCMF, LDMF",RCMF,8,20,0,,10,533,Brazil,Brazil,right,184,75,no,8.61,1.52153,2.870182,0.17,0.0,0.04,0.17,4.391875,0.17,0.169983,BRA1,Testing,2024,0.05118976679622779,0.1676900448231636,0.1094399058096957
37,Gustavinho,Red Bull Bragantino,Red Bull Bragantino,"RCMF, AMF",RCMF,8,20,0,,24,998,Brazil,Brazil,right,175,68,no,7.03,1.535296,4.237912,0.54,1.805,0.2,1.62,4.05735,0.45,1.174546,BRA1,Testing,2024,0.4029116855864817,0.499719039019756,0.4513153623031189
38,Vitinho,Cruzeiro U20,Cruzeiro,"LCMF, RWF, RCMF",LCMF,8,20,0,2025-12-31,19,547,Brazil,Brazil,left,173,67,no,4.11,0.495,2.1385,2.47,0.328555,0.06,0.66,1.149101,0.16,0.329967,BRA1,Testing,2024,0.0,0.0,0.0
39,Ryan,Corinthians U20,Corinthians,"LCMF, RDMF",LCMF,8,21,0,,11,610,Brazil,Brazil,left,170,64,no,11.8,0.295,2.3616,0.44,0.296,0.01,0.15,1.76848,0.15,0.1475,BRA1,Testing,2024,0.100947797098203,0.08499227213485291,0.09297003461652795
40,Jhon Jhon,Red Bull Bragantino,Red Bull Bragantino,"LCMF, LAMF, LW",LCMF,8,22,0,,14,797,Brazil,Brazil,right,178,73,no,9.71,2.369243,4.293134999999999,2.48,2.485428,0.04,1.24,3.277,1.02,0.7894669999999999,BRA1,Testing,2024,0.5420377934002044,0.5707185819797644,0.5563781876899845
41,Léo Naldi,Vitória,Vitória,"LCMF, DMF",LCMF,8,23,400000,2026-12-31,18,1186,Brazil,Brazil,right,176,70,no,9.18,2.350134,2.729265,0.46,0.760038,0.01,0.23,3.641440000000001,0.08,0.151421,BRA1,Testing,2024,0.1281386725530754,0.2109250245206061,0.1695318485368408
