Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xG,Finalizações_NoAlvo,Conversão_Gols,xA,Assistência_Finalização,Passes_Inteligentes_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Gustavo Silva,Vitória,Vitória,"RAMF, RWF",RAMF,10,27,1500000,2026-12-31,12,600,Brazil,Brazil,right,168,63,no,0.15,2.55,2.85012,3.000285,1.95,0.19,0.15,12.5,0.22,1.5,0.0,0.0,0.3,BRA1,Testing,2024,0.3056198401990912,0.279467456143417,0.2925436481712541
1,Rayan,Vasco da Gama,Vasco da Gama,"RAMF, RW, RWF",RAMF,10,18,0,,15,603,Brazil,Brazil,left,185,75,no,1.192772,3.131232,2.6856,3.431072,1.6445,0.2,0.746339,7.143,0.14,0.9,0.0,0.0,0.45,BRA1,Testing,2024,0.3244224527839198,0.2994469702520768,0.3119347115179983
2,Zé Hugo,Vitória,Vitória,"RW, LW",RW,10,24,400000,2024-12-31,18,644,Brazil,Brazil,right,178,70,no,0.4200000000000001,2.653527,2.93125,6.566739999999999,3.774622,0.2,0.5599439999999999,8.333,0.22,1.54,0.0,0.0,0.56,BRA1,Testing,2024,0.7164006608262958,0.7151548819068049,0.7157777713665503
3,Marinho,Fortaleza,Fortaleza,"RW, RAMF, RWF",RW,10,34,600000,2025-12-31,13,667,Brazil,Brazil,left,169,65,no,1.616896,2.7,2.16,6.476255999999999,3.372576,0.1,0.54,0.0,0.18,1.35,0.0,0.0,0.94,BRA1,Testing,2024,0.6905434090827882,0.7011408470522943,0.6958421280675412
4,Moisés,Fortaleza,Fortaleza,"LAMF, LW, LCMF",LAMF,10,28,1500000,2027-12-31,16,693,Brazil,Brazil,right,177,80,no,1.17,2.209843999999999,2.21,5.066352,3.5046,0.35,1.04,10.0,0.12,1.43,0.13,0.26,0.78,BRA1,Testing,2024,0.582233228351941,0.6572779041264338,0.6197555662391874
5,M. Araújo,São Paulo,São Paulo,"LAMF, LWB, LB",LAMF,10,27,1500000,2027-12-31,16,748,Uruguay,Uruguay,left,178,74,no,1.325681,7.576531999999999,3.607281,3.3705,1.32405,0.19,0.360048,0.0,0.15,1.44,0.24,0.6,0.6,BRA1,Testing,2024,0.4678949364197079,0.5446481328765239,0.5062715346481159
6,Ó. Romero,Botafogo,Botafogo,"RW, RAMF",RW,10,32,2000000,2024-12-31,17,761,Paraguay,Paraguay,left,176,73,no,3.433044,8.16208,6.029658,2.84,0.9480000000000001,0.2,1.066142,7.692,0.14,1.66,0.354,0.59375,0.24,BRA1,Testing,2024,0.6613187131583615,0.7933372093070888,0.7273279612327251
7,Allano,Criciúma,Criciúma,"RW, CF, RAMF",RW,10,29,300000,2024-12-31,15,773,Brazil,Brazil,left,182,74,yes,1.164309,4.542318,3.374591999999999,5.705163,2.559581999999999,0.12,0.465691,0.0,0.17,1.28,0.23,0.116655,0.93,BRA1,Testing,2024,0.6667584633424511,0.7065360489945597,0.6866472561685053
8,Gabriel Carvalho,Internacional,Internacional,"RAMF, RW, LAMF",RAMF,10,17,0,,10,776,Brazil,Brazil,right,168,67,no,1.625602,7.191999999999999,4.986207,4.17358,2.202915,0.15,0.579942,6.667,0.26,1.51,0.115,0.348,0.35,BRA1,Testing,2024,0.7310195166129277,0.765538939895113,0.7482792282540203
9,Biel,Bahia,Bahia,"LW, LWF, CF",LW,10,23,4000000,2029-12-31,20,795,Brazil,Brazil,right,170,62,no,0.565,3.733821,2.717634,3.624254,1.923744,0.42,0.9053640000000001,18.182,0.35,1.7,0.342,0.34,1.02,BRA1,Testing,2024,0.3988805304889377,0.4844850425233965,0.4416827865061671
10,Wanderson,Internacional,Internacional,"LAMF, LW",LAMF,10,29,8000000,2025-12-31,12,838,Brazil,"Brazil, Belgium",right,176,74,no,0.3240000000000001,3.545388,2.902672,3.86478,2.794957000000001,0.15,0.4307799999999999,7.692,0.16,1.18,0.0,0.0,0.64,BRA1,Testing,2024,0.4042286013006558,0.4080422600694239,0.4061354306850398
11,Lázaro,Palmeiras,Palmeiras,"LAMF, LWF, LWB",LAMF,10,22,3500000,2028-06-30,15,838,Brazil,Brazil,right,181,69,yes,1.501904,4.618922,3.5475,3.9729,2.04,0.24,0.9686359999999999,9.524,0.1,1.07,0.0,0.32,0.32,BRA1,Testing,2024,0.5297718195503608,0.5344666052323491,0.532119212391355
12,Wellington Rato,São Paulo,São Paulo,"RAMF, RW",RAMF,10,32,1200000,2026-12-31,16,885,Brazil,Brazil,left,172,77,no,3.356038,6.303374,5.190606,2.542206,1.118252,0.13,0.405,0.0,0.18,1.63,0.206677,0.305,0.61,BRA1,Testing,2024,0.5932281575742929,0.6315877043833651,0.612407930978829
13,Marcelinho,Juventude,Juventude,"LAMF, RW",LAMF,10,21,400000,2024-12-31,16,909,Brazil,Brazil,right,165,69,yes,1.187408,3.46838,2.180109,4.75306,2.475788,0.12,0.7932539999999999,4.167,0.1,1.09,0.09998999999999998,0.09998999999999998,0.3,BRA1,Testing,2024,0.4201334188768521,0.4420813040688231,0.4311073614728375
14,Rodrigo Nestor,São Paulo,São Paulo,"LAMF, LCMF, LW",LAMF,10,24,9000000,2028-06-30,18,913,Brazil,Brazil,right,175,65,no,1.181092,6.409184,3.2565,1.872936,0.592872,0.09,0.59,0.0,0.08,0.69,0.0,0.195,0.49,BRA1,Testing,2024,0.2526082167328593,0.2395268227927124,0.2460675197627858
15,Keno,Fluminense,Fluminense,"LAMF, LW",LAMF,10,35,800000,2025-12-31,15,934,Brazil,Brazil,right,178,66,no,0.28875,3.854796,3.467784,4.915602,3.46885,0.12,0.480594,5.556,0.1,1.25,0.195,0.09665699999999999,0.19,BRA1,Testing,2024,0.6058867902162408,0.6336147445498499,0.6197507673830454
16,C. Pavón,Grêmio,Grêmio,"RW, RAMF",RW,10,28,4500000,2026-12-31,14,940,Argentina,"Argentina, Italy",right,174,70,no,1.341252,6.891285,4.307296,3.35153,2.487342,0.2,0.767196,4.545,0.17,1.05,0.384,0.477225,0.57,BRA1,Testing,2024,0.5691801990019711,0.6886408400433189,0.628910519522645
17,Y. Soteldo,Grêmio,Grêmio,"LWF, LW, LAMF",LWF,11,27,7000000,2027-06-30,12,942,Venezuela,Venezuela,left,160,54,no,0.763665,4.201809,3.824,7.452162,4.872548,0.18,0.66774,23.077,0.31,2.1,0.19,0.285,1.05,BRA1,Testing,2024,0.9267147430767071,0.9648216925110216,0.9457682177938642
18,Nikão,Athletico Paranaense,Athletico Paranaense,"RAMF, RW",RAMF,10,32,1000000,2024-12-31,15,948,Brazil,Brazil,left,174,73,yes,3.41636,5.601387,5.320094999999998,3.796799999999999,1.235038,0.2,1.139867,5.882,0.1,1.42,0.186676,0.285,0.57,BRA1,Testing,2024,0.7170780871581565,0.7312114619870904,0.7241447745726234
19,Ferreira,São Paulo,São Paulo,"LAMF, LW",LAMF,10,26,5000000,2027-12-31,19,958,Brazil,Brazil,right,176,65,no,0.375,4.510448,4.511858999999999,8.55105,5.261696000000001,0.21,0.84375,16.667,0.19,2.07,0.095,0.093324,0.66,BRA1,Testing,2024,0.920795521958421,0.9682219437707549,0.9445087328645878
20,Marquinhos Gabriel,Criciúma,Criciúma,"RW, AMF, LW",RW,10,34,400000,2024-12-31,19,959,Brazil,Brazil,left,174,70,no,1.124248,5.72169,4.035021,3.84772,1.408149,0.08,0.376047,0.0,0.18,1.22,0.093324,0.19,0.56,BRA1,Testing,2024,0.5040258461786213,0.5099039563644003,0.5069649012715107
21,A. Canobbio,Athletico Paranaense,Athletico Paranaense,"LAMF, LW, CF",LAMF,10,25,5000000,2026-12-31,14,969,Uruguay,"Uruguay, Italy",right,175,69,no,0.369963,5.015166,2.882032,3.529592,2.509624,0.26,1.205,15.385,0.14,1.21,0.2775,0.2775,0.37,BRA1,Testing,2024,0.3896035158773715,0.4649377727468972,0.4272706443121343
22,Gabriel Veron,Cruzeiro,Cruzeiro,"RWF, AMF",RWF,11,21,7000000,2027-06-30,16,981,Brazil,Brazil,right,176,75,yes,0.091456,2.10936,1.562335,1.101471,0.55125,0.32,0.6416299999999999,33.333,0.08,0.73,0.09,0.09,0.18,BRA1,Testing,2024,0.0,0.0,0.0
23,Derik Lacerda,Cuiabá,Cuiabá,"LW, CF, RW",LW,10,24,500000,2028-12-31,17,996,Brazil,Brazil,right,191,78,no,0.27,2.52673,1.266436,5.060326,2.531725,0.14,0.3627120000000001,13.333,0.13,0.72,0.089991,0.089991,0.36,BRA1,Testing,2024,0.3972219456336422,0.3649989971401198,0.3811104713868809
24,Vitinho,Red Bull Bragantino,Red Bull Bragantino,"LAMF, LW, LWF",LAMF,10,25,7000000,2026-06-30,18,1039,Brazil,Brazil,right,181,75,no,1.648998,4.764375,4.246788,3.985509,3.031755,0.13,0.9518169999999999,8.696,0.06,0.95,0.085,0.344,0.35,BRA1,Testing,2024,0.6405564563813639,0.6504739868046384,0.6455152215930011
25,T. Cuello,Athletico Paranaense,Athletico Paranaense,"LAMF, RW, LW",LAMF,10,24,3000000,2025-12-31,19,1051,Argentina,Argentina,right,178,64,no,1.115,4.284448,4.877657,6.677905000000001,5.05408,0.13,0.9429599999999999,3.571,0.24,1.8,0.09,0.0,1.03,BRA1,Testing,2024,0.9021112390580605,0.9196076846496615,0.9108594618538608
26,Matheusinho,Criciúma,Criciúma,"RW, LCMF, LWF",RW,10,26,1300000,2024-12-31,17,1060,Brazil,Brazil,right,164,58,no,2.37735,6.454279999999999,5.942392,4.07472,1.530034,0.28,0.5950340000000001,22.727,0.12,1.44,0.083325,0.08431099999999998,0.59,BRA1,Testing,2024,0.7902956658175199,0.7732569024547061,0.7817762841361129
27,Osvaldo,Vitória,Vitória,"LW, LWF",LW,10,37,175000,2024-12-31,19,1156,Brazil,Brazil,right,169,62,no,1.165878,4.749948,3.889130000000001,3.34662,1.480292,0.18,0.7764240000000001,11.765,0.1,1.09,0.0,0.155,0.16,BRA1,Testing,2024,0.4289458107570382,0.4175779895099319,0.423261900133485
28,Clayson,Cuiabá,Cuiabá,"LW, LAMF, LWF",LW,10,29,1000000,2025-12-31,20,1191,Brazil,Brazil,right,166,63,no,1.208904,3.6288,2.944095,3.778788999999999,2.721115999999999,0.17,0.604452,14.815,0.08,0.6,0.0,0.0,0.15,BRA1,Testing,2024,0.3771869664180165,0.4026526236529353,0.3899197950354759
29,Jonathan Cafú,Cuiabá,Cuiabá,"RW, RAMF, RWF",RW,10,33,300000,2024-12-31,19,1209,Brazil,"Brazil, Bulgaria",right,175,68,no,0.3,3.648391999999999,2.977613999999999,4.0953,1.786005,0.11,0.37,10.0,0.07,0.82,0.07332599999999999,0.07332599999999999,0.3,BRA1,Testing,2024,0.3842051192424933,0.3431679570708465,0.3636865381566698
30,Helinho,Red Bull Bragantino,Red Bull Bragantino,"RW, RAMF, RWF",RW,10,24,7000000,2028-12-31,17,1218,Brazil,Brazil,left,175,66,no,1.69983,5.169937999999999,4.064367000000001,4.729963,3.325728,0.15,1.034474,19.444,0.11,1.48,0.295,0.296,0.22,BRA1,Testing,2024,0.6953548012179933,0.7574420294259254,0.7263984153219594
31,Marquinhos,Fluminense,Fluminense,"RAMF, RB",RAMF,10,21,7000000,2027-06-30,15,1283,Brazil,Brazil,left,175,67,yes,1.119951,4.41696,3.227548,6.243061,4.001082,0.09,0.350014,0.0,0.14,0.98,0.0,0.0,0.42,BRA1,Testing,2024,0.721519324870534,0.7100410465931403,0.7157801857318371
32,Bruno Henrique,Flamengo,Flamengo,"LAMF, LW",LAMF,10,33,1800000,2026-12-31,17,1318,Brazil,Brazil,right,184,77,no,0.27,2.251908,2.1854,3.958226999999999,1.9778,0.25,0.82,16.667,0.06,0.34,0.0,0.0,0.27,BRA1,Testing,2024,0.2665814602587386,0.2080835609143324,0.2373325105865355
33,J. Savarino,Botafogo,Botafogo,"LW, LAMF, AMF",LW,10,27,5000000,2026-12-31,17,1325,Venezuela,"Venezuela, Italy",right,168,60,no,1.972,5.433116,4.62054,1.29108,0.951116,0.21,1.086849,13.793,0.27,2.17,0.135,0.136653,1.15,BRA1,Testing,2024,0.4846333615128571,0.494809130070378,0.4897212457916175
34,Julimar,Athletico Paranaense,Athletico Paranaense,"LAMF, LW, RAMF",LAMF,10,23,400000,2026-12-31,23,1343,Brazil,Brazil,right,182,82,no,0.535398,3.41662,2.008016,4.421508,3.149,0.28,1.139355,6.383,0.1,0.54,0.065,0.0,0.47,BRA1,Testing,2024,0.4247000671139146,0.4079692156687464,0.4163346413913305
35,A. Cruz,Atlético GO,Atlético GO,"LWF, LW, LB",LWF,11,24,700000,2024-12-31,24,1347,Uruguay,Uruguay,left,170,67,no,1.268703,6.015762,4.476976,2.606896,1.602042,0.11,0.268558,7.143,0.15,1.67,0.065,0.065,0.33,BRA1,Testing,2024,0.45983704049028,0.4660808018469432,0.4629589211686115
36,Adson,Vasco da Gama,Vasco da Gama,"RAMF, RW, LAMF",RAMF,10,23,4500000,2027-12-31,20,1356,Brazil,Brazil,left,171,64,no,1.195794,7.435768,3.451488,3.651353,1.590628,0.13,0.6625530000000001,8.333,0.14,1.39,0.13334,0.26668,0.53,BRA1,Testing,2024,0.4773664665943791,0.4962432159128117,0.4868048412535954
37,Gustavo Nunes,Grêmio,Grêmio,"LW, LAMF",LW,10,18,0,,20,1382,Brazil,Brazil,right,173,69,no,0.9783,4.750848,3.7088,5.667396,3.844743,0.12,0.455,21.429,0.07,0.52,0.13,0.13334,0.2,BRA1,Testing,2024,0.7476522025950408,0.7433899104159415,0.745521056505491
38,Arthur Gomes,Dinamo Moskva,Cruzeiro,LWF,LWF,11,26,3000000,2029-06-30,21,1399,Brazil,Brazil,right,174,69,no,0.8385000000000001,3.4713,2.636792,4.374916000000001,3.27852,0.16,0.8357399999999999,7.143,0.05,0.64,0.129987,0.32,0.39,BRA1,Testing,2024,0.4891725503542869,0.5124751472158383,0.5008238487850625
39,J. Arias,Fluminense,Fluminense,"RW, LAMF, RAMF",RW,10,26,14000000,2026-06-30,14,1422,Colombia,Colombia,right,168,70,no,0.126654,5.446426,2.401245,5.696838000000001,2.913118,0.21,0.76,6.667,0.09,1.14,0.126673,0.126673,0.38,BRA1,Testing,2024,0.5507690440295951,0.5990241355836067,0.5748965898066009
40,Estevão,Palmeiras U20,Palmeiras,RAMF,RAMF,10,17,0,,21,1428,Brazil,Brazil,left,170,62,no,0.946476,4.666518,3.151937,7.056862,5.420141999999999,0.31,1.324464,15.385,0.26,1.58,0.1875,0.188584,0.76,BRA1,Testing,2024,0.8710122849352743,0.9665645578125261,0.9187884213739002
41,Lucas Moura,São Paulo,São Paulo,"RAMF, AMF, LAMF",RAMF,10,32,5000000,2026-12-31,17,1437,Brazil,Brazil,right,174,70,no,0.815442,6.953010000000001,5.137338,4.698586,1.877928,0.23,0.815,19.231,0.09,0.88,0.189,0.312525,0.38,BRA1,Testing,2024,0.7264315998247063,0.7531110958906106,0.7397713478576584
42,Tchê Tchê,Botafogo,Botafogo,"LW, LCMF, LAMF",LW,10,32,1800000,2025-12-31,22,1491,Brazil,Brazil,right,175,66,no,2.593534,8.569728000000001,4.887,1.448907,0.364,0.03,0.303125,0.0,0.07,0.42,0.120006,0.3,0.3,BRA1,Testing,2024,0.4993805904576178,0.4777466461532635,0.4885636183054406
43,Yago Pikachu,Fortaleza,Fortaleza,"RAMF, RW",RAMF,10,32,1200000,2025-12-31,22,1492,Brazil,Brazil,right,169,63,no,1.325958,4.281795,3.075248,2.592513,1.085545,0.16,0.362,6.667,0.08,0.48,0.06,0.059994,0.24,BRA1,Testing,2024,0.2626776857870826,0.2252867711341356,0.243982228460609
44,David,Vasco da Gama,Vasco da Gama,"LAMF, LW, LWF",LAMF,10,28,2000000,2025-12-31,20,1587,Brazil,Brazil,right,180,71,yes,0.5078910000000001,2.663118,2.044392,3.5721,1.53,0.13,0.339966,14.815,0.11,0.96,0.226678,0.22856,0.51,BRA1,Testing,2024,0.2503988043404914,0.243542629282237,0.2469707168113642
45,H. Mosquera,Red Bull Bragantino,Red Bull Bragantino,"LW, CF, LAMF",LW,10,22,0,,23,1609,Colombia,Colombia,right,175,68,no,0.2222,2.462659,1.790343,6.094647,3.524997,0.11,0.447228,0.0,0.04,0.84,0.056661,0.056661,0.28,BRA1,Testing,2024,0.5791153703270028,0.5124396495583646,0.5457775099426836
46,Breno Lopes,Fortaleza,Fortaleza,"LAMF, LW",LAMF,10,28,1800000,2024-12-31,22,1637,Brazil,Brazil,right,178,72,yes,0.935088,2.52681,1.92164,5.222014000000001,2.750022,0.14,0.713088,11.429,0.13,0.71,0.0,0.0,0.16,BRA1,Testing,2024,0.4457744425519088,0.405027079650227,0.4254007611010678
47,Wesley,Internacional,Internacional,"LAMF, RAMF, LW",LAMF,10,25,5500000,2026-12-31,20,1637,Brazil,Brazil,right,175,64,no,0.9316000000000001,4.671625000000001,3.740000000000001,7.584899,4.397049,0.22,0.9881399999999999,10.638,0.11,0.77,0.21816,0.11,0.33,BRA1,Testing,2024,0.8689734035586774,0.8458683502162595,0.8574208768874683
48,Wesley,Al Nassr,Corinthians,"LAMF, LW, LWF",LAMF,10,19,0,,23,1638,Brazil,Brazil,right,180,71,no,1.045044,2.584922999999999,3.189846000000001,7.088932,4.724844,0.1,0.7149449999999998,6.667,0.09,1.15,0.053328,0.053328,0.27,BRA1,Testing,2024,0.8362323968293383,0.819225350421995,0.8277288736256665
49,Luiz Araújo,Flamengo,Flamengo,"RAMF, RW, AMF",RAMF,10,28,4000000,2027-12-31,22,1673,Brazil,Brazil,left,175,70,no,1.87949,4.623885,3.064842,4.734236,3.015056,0.1,0.8616300000000001,7.692,0.23,1.4,0.108,0.159984,0.48,BRA1,Testing,2024,0.5662336422704393,0.6368695445487937,0.6015515934096165
50,Lucas Barbosa,Juventude,Juventude,"RAMF, RW",RAMF,10,23,2000000,2026-07-31,22,1779,Brazil,Brazil,left,194,84,yes,1.970132,3.59346,2.93432,2.985147,1.414656,0.14,0.405384,13.333,0.06,0.66,0.05,0.05001499999999999,0.4,BRA1,Testing,2024,0.271230644492561,0.2702540434028184,0.2707423439476897
51,Luiz Henrique,Botafogo,Botafogo,"RAMF, RW",RAMF,10,23,12000000,2028-12-31,24,1805,Brazil,Brazil,left,182,77,no,0.35,2.64261,2.042812,5.584083,3.488026,0.17,0.5999399999999999,15.152,0.11,1.0,0.05,0.05,0.55,BRA1,Testing,2024,0.5690111357954836,0.5435913605552658,0.5563012481753746
52,Gustavo Scarpa,Atlético Mineiro,Atlético Mineiro,"RWB, LWB, RAMF",RAMF,10,30,8000000,2027-12-31,21,1827,Brazil,"Brazil, Italy",left,176,74,no,4.1875,7.785056,8.078404999999998,4.286949,2.4647,0.2,0.886578,7.407,0.17,1.48,0.147258,0.393014,0.44,BRA1,Testing,2024,1.0,1.0,1.0
53,Erick Farias,Juventude,Juventude,"LW, CF, LAMF",LW,10,27,1300000,2026-12-31,25,1839,Brazil,Brazil,right,174,79,no,0.489459,3.473539,1.126327,2.595606,1.4184,0.14,0.6831999999999999,12.0,0.1,0.44,0.0,0.05,0.24,BRA1,Testing,2024,0.1101203664160869,0.09152179197185475,0.1008210791939708
54,Matheuzinho,Vitória,Vitória,"RW, AMF, RWF",RW,10,26,1500000,2025-12-31,23,1868,Brazil,Brazil,right,165,59,no,1.105297,5.82926,2.696495,4.819069999999999,2.16776,0.12,0.7243339999999999,11.429,0.18,1.2,0.24375,0.14625,0.24,BRA1,Testing,2024,0.5004739966363297,0.5274965476890019,0.5139852721626658
55,Shaylon,Atlético GO,Atlético GO,"RWF, RW, LCMF",RWF,11,27,2000000,2025-12-31,24,1941,Brazil,Brazil,left,178,70,no,2.32042,6.723720000000001,4.21923,1.112616,0.6047640000000001,0.18,0.416768,5.263,0.21,2.13,0.233352,0.18524,0.46,BRA1,Testing,2024,0.4676220305315603,0.4983033696117088,0.4829627000716345
56,Gerson,Flamengo,Flamengo,"RAMF, LDMF, RW",RAMF,10,27,14000000,2027-12-31,24,1959,Brazil,Brazil,left,184,78,no,1.515528,7.899287999999999,3.862215,4.732150000000001,2.11344,0.07,0.321382,4.545,0.06,0.74,0.0,0.09271800000000001,0.28,BRA1,Testing,2024,0.5504264901324868,0.5532279261580523,0.5518272081452695
57,Luiz Fernando,Atlético GO,Atlético GO,"LWF, LW, LAMF",LWF,11,27,1500000,2024-12-31,23,2194,Brazil,Brazil,right,178,65,no,0.8639999999999999,3.566836,2.627621,3.692868,1.765,0.23,0.695728,13.953,0.04,0.74,0.042,0.0,0.29,BRA1,Testing,2024,0.3235096066167239,0.2997588428119208,0.3116342247143223
